AC_TYPEID;AC_GROUP;SSD_NAME;MANUFACTURER;LONG_NAME;SHORT_NAME;BEGIN_DATE;END_DATE
603;6;FOKKER 100;FOKKER;FOKKER 100;FOKKR100;1-1-1990;
604;6;FOKKER 70;FOKKER;FOKKER 70;FOKKER70;1-1-1994;
450;4;F-27;FOKKER/FAIRCHILD;FOKKER FRIENDSHIP F-27/FAIRCHILD F-27/A/B/F/J;F-27;1-1-1990;
660;6;LEAR-23;GATES LEARJET;GATES LEARJET LEAR-23;LEAR-23;1-1-1990;
661;6;LEAR-24;GATES LEARJET;GATES LEARJET LEAR-24;LEAR-24;1-1-1990;
662;6;LEAR-25;GATES LEARJET;GATES LEARJET LEAR-25;LEAR-25;1-1-1990;
663;6;LEAR-35;GATES LEARJET;GATES LEARJET LEAR-31/35/36;LEAR-35;1-1-1990;
666;6;LEAR 55;GATES LEARJET;LEAR 55;LEAR-55;1-10-2002;
26;0;GIPPS AERO GA8 AIR;GIPPS AERO;GIPPS AERO GA8 AIRVAN;AIRVAN;1-1-2014;
170;4;GRUMMAN G-21A;GRUMMAN;GRUMMAN G-21A (GOOSE);GOOSE;1-1-1990;
171;4;GRUMMAN SA-16A-GR;GRUMMAN;GRUMMAN SA-16A-GR (ALBATROSS);ALBATRSS;1-1-1990;
172;4;GRUMMAN G-44/44A;GRUMMAN;GRUMMAN G-44/44A (WIDGEON);WIDGEON;1-1-1990;
173;4;GRUMMAN G-73;GRUMMAN;GRUMMAN G-73 (MALLARD);MALLARD;1-1-1990;
460;4;GRUMMAN G-21G;GRUMMAN;GRUMMAN G-21G (TURBO-GOOSE);GOOSE;1-1-1993;
648;6;GULFSTREAM G200;GULFSTEAM;GULFSTREAM G200;G200;1-6-2008;
651;6;GULFSTEAM G150;GULFSTEAM;GULFSTREAM G150;G150;1-6-2008;
671;6;GULFSTREAM G450;GULFSTREAM;GULFSTREAM G450;G450;1-4-2006;
679;6;GRUMMAN G-1159;GULFSTREAM;GRUMMAN G-1159 GULFSTREAM II/III;G-III;1-1-2009;
