code|name|updated
D92|Boeing/McDonnell Douglas DC-9-20|2015-10-05T22:27:42+02:00
D93|Boeing/McDonnell Douglas DC-9-30|2015-10-05T22:27:42+02:00
D94|Boeing/McDonnell Douglas DC-9-40|2015-10-05T22:27:42+02:00
D95|Boeing/McDonnell Douglas DC-9-50|2015-10-05T22:27:42+02:00
D9C|Boeing/McDonnell Douglas DC-9-30 Freighter|2015-10-05T22:27:42+02:00
D9F|Boeing/McDonnell Douglas DC-9-40 Freighter|2015-10-05T22:27:42+02:00
D9S|Boeing/McDonnell Douglas DC-9-30/40/50|2015-10-05T22:27:42+02:00
D9X|Boeing/McDonnell Douglas DC-9-10 Freighter|2015-10-05T22:27:42+02:00
DC3|Boeing/Douglas DC-3|2015-10-05T22:27:42+02:00
DC6|Boeing/Douglas DC-6|2015-10-05T22:27:42+02:00
DC8|Boeing/McDonnell Douglas DC-8|2015-10-05T22:27:42+02:00
DC9|Boeing/McDonnell Douglas DC-9|2015-10-05T22:27:42+02:00
DCF|Boeing/McDonnell Douglas DC-9 Freighter|2015-10-05T22:27:42+02:00
DH1|De Havilland Canada DHC-8-100 Dash 8/8Q|2015-10-05T22:27:42+02:00
DH2|De Havilland Canada DHC-8-200 Dash 8/8Q|2015-10-05T22:27:42+02:00
DH3|De Havilland Canada DHC-8-300 Dash 8/8Q|2015-10-05T22:27:42+02:00
DH4|De Havilland Canada DHC-8-400 Dash 8/8Q|2015-10-05T22:27:42+02:00
DH7|De Havilland Canada DHC-7 Dash 7|2015-10-05T22:27:42+02:00
DH8|De Havilland Canada DHC-8 Dash 8 All S.|2015-10-05T22:27:42+02:00
DHC|De Havilland Canada DHC-4 Caribou|2015-10-05T22:27:42+02:00
DHL|De Havilland Canada DHC-3 Turbo Otter|2015-10-05T22:27:42+02:00
DHP|De Havilland Canada DHC-2 Beaver|2015-10-05T22:27:42+02:00
DHS|De Havilland Canada DHC-3 Otter|2015-10-05T22:27:42+02:00
DHT|De Havilland Canada DHC-6 Twin Otter|2015-10-05T22:27:42+02:00
E70|Embraer ERJ-170|2015-10-05T22:27:42+02:00
E75|Embraer ERJ-175|2015-10-05T22:27:42+02:00
E90|Embraer ERJ-190|2015-10-05T22:27:42+02:00
E95|Embraer ERJ-195|2015-10-05T22:27:42+02:00
EM2|Embraer EMB-120 Brasilia|2015-10-05T22:27:42+02:00
EM9|Embraer E190|2015-10-05T22:27:42+02:00
EMB|Embraer EMB-110 Bandeirante|2015-10-05T22:27:42+02:00
EMJ|Embraer ERJ-170/190|2015-10-05T22:27:42+02:00
ER3|Embraer ERJ-135 Regional Jet|2015-10-05T22:27:42+02:00
ER4|Embraer ERJ-145 Regional Jet|2015-10-05T22:27:42+02:00
ERD|Embraer ERJ-140 Regional Jet|2015-10-05T22:27:42+02:00
ERJ|Embraer ERJ-135/140/145 Regional Jet|2015-10-05T22:27:42+02:00
F21|Fokker F28 Fellowship 1000|2015-10-05T22:27:42+02:00
F22|Fokker F28 Fellowship 2000|2015-10-05T22:27:42+02:00
F23|Fokker F28 Fellowship 3000|2015-10-05T22:27:42+02:00
F24|Fokker F28 Fellowship 4000|2015-10-05T22:27:42+02:00
F27|Fokker F27 Friendship/Fairchild F27|2015-10-05T22:27:42+02:00
F28|Fokker F28 Fellowship|2015-10-05T22:27:42+02:00
F50|Fokker 50|2015-10-05T22:27:42+02:00
F70|Fokker 70|2015-10-05T22:27:42+02:00
FA7|Fairchild Dornier 728JET|2015-10-05T22:27:42+02:00
FK7|Fairchild FH227|2015-10-05T22:27:42+02:00
FRJ|Fairchild Dornier 328JET|2015-10-05T22:27:42+02:00
GRG|Grumman G-21 Goose|2015-10-05T22:27:42+02:00
GRM|Grumman G-73 Turbo Mallard|2015-10-05T22:27:42+02:00
HEC|Helio H-250 Courier/H-295/395 Super Courier|2015-10-05T22:27:42+02:00
HS7|British Aerospace/Hawker Siddeley HS748|2015-10-05T22:27:42+02:00
I14|Ilyushin IL-114|2015-10-05T22:27:42+02:00
I93|Ilyushin IL-96-300|2015-10-05T22:27:42+02:00
I9F|Ilyushin IL-96 Freighter|2015-10-05T22:27:42+02:00
I9M|Ilyushin IL-96M|2015-10-05T22:27:42+02:00
I9Y|Ilyushin IL-96T|2015-10-05T22:27:42+02:00
IL6|Ilyushin IL-62|2015-10-05T22:27:42+02:00
IL7|Ilyushin IL-76|2015-10-05T22:27:42+02:00
IL8|Ilyushin IL-18|2015-10-05T22:27:42+02:00
IL9|Ilyushin IL-96|2015-10-05T22:27:42+02:00
ILW|Ilyushin IL-86|2015-10-05T22:27:42+02:00
J31|British Aerospace Jetstream 31|2015-10-05T22:27:42+02:00
J32|British Aerospace Jetstream 32|2015-10-05T22:27:42+02:00
J41|British Aerospace Jetstream 41|2015-10-05T22:27:42+02:00
JST|British Aerospace Jetstream 31/32/41|2015-10-05T22:27:42+02:00
JU5|Junkers Ju52|2015-10-05T22:27:42+02:00
L10|Lockheed L-1011 Tristar|2015-10-05T22:27:42+02:00
L11|Lockheed L-1011-1/50/100/150/200/250|2015-10-05T22:27:42+02:00
L15|Lockheed L-1011-500 Tristar|2015-10-05T22:27:42+02:00
L1F|Lockheed L-1011 Tristar Freighter|2015-10-05T22:27:42+02:00
L4T|Let 410 Turbolet|2015-10-05T22:27:42+02:00
LCH|Non Aircraft - Launch/Boat|2015-10-05T22:27:42+02:00
LMO|Non Aircraft - Limousine|2015-10-05T22:27:42+02:00
LOE|Lockheed L-188 Electra|2015-10-05T22:27:42+02:00
LOH|Lockheed L-100 Hercules|2015-10-05T22:27:42+02:00
LRJ|Learjet|2015-10-05T22:27:42+02:00
